what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1399001768094
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399001768213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001769277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001770425
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1399001770430
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399001785146
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1399001789570
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1399001793979
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1399001799668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001800621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001801898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001802228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001803747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001809050
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399001809086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001810420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1399001810427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399001819779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399004600283
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1399004600907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399004601697
