what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1402650455696
ws,sysinfo,,,"win32",1402650455696
locale,sysinfo,,,"en_US",1402650455696
processors,sysinfo,,,"4",1402650455696
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402650455696
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1402650455696
java.specification.name,sysinfo,,,"Java Platform API Specification",1402650455696
java.specification.vendor,sysinfo,,,"Oracle Corporation",1402650455696
java.specification.version,sysinfo,,,"1.7",1402650455696
java.vendor,sysinfo,,,"Oracle Corporation",1402650455696
java.version,sysinfo,,,"1.7.0_60",1402650455696
java.vm.info,sysinfo,,,"mixed mode, sharing",1402650455696
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1402650455696
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402650455696
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1402650455696
java.vm.specification.version,sysinfo,,,"1.7",1402650455696
java.vm.vendor,sysinfo,,,"Oracle Corporation",1402650455696
java.vm.version,sysinfo,,,"24.60-b09",1402650455696
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit17,3.0.5.I20140122-1700,"org.polarion.eclipse.team.svn.connector.svnkit17",1402650456519
started,bundle,org.eclipse.team.svn.ui,1.1.3.I20140206-1700,"org.eclipse.team.svn.ui",1402650456562
started,bundle,org.eclipse.team.svn.revision.graph,1.1.0.I20130527-1700,"org.eclipse.team.svn.revision.graph",1402650456707
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1402650483603
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1402650483718
started,bundle,org.eclipse.wst.dtd.core,1.1.402.v201109061850,"org.eclipse.wst.dtd.core",1402650485628
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1402650485703
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1402650485708
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1402650485790
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1402650486158
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201110061050,"org.eclipse.jst.jsf.core",1402650486163
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1402650486403
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1402650486753
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1402650486815
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1402650486940
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1402650491117
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.run",1402650493023
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1402650493045
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1402650493943
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1402650494968
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1402650498996
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402650499494
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402650499509
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1402650500820
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.stop",1402650559782
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402650560213
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1402650561155
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402650561210
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1402650566521
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.debug",1402650568723
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402650570362
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1402650571084
