what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1398696731582
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1398696731672
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1398696731709
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1398696731740
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1398696731740
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1398696731767
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1398696731825
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1398696731859
started,bundle,org.eclipse.team.svn.core,1.1.3.I20140206-1700,"org.eclipse.team.svn.core",1398696731997
started,bundle,org.eclipse.team.svn.mylyn,1.1.2.I20131116-1700,"org.eclipse.team.svn.mylyn",1398696732013
os,sysinfo,,,"win32",1398696732018
arch,sysinfo,,,"x86",1398696732018
ws,sysinfo,,,"win32",1398696732018
locale,sysinfo,,,"en_US",1398696732018
processors,sysinfo,,,"4",1398696732019
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398696732019
java.runtime.version,sysinfo,,,"1.6.0_38-b05",1398696732019
java.specification.name,sysinfo,,,"Java Platform API Specification",1398696732019
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398696732019
java.specification.version,sysinfo,,,"1.6",1398696732019
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1398696732019
java.version,sysinfo,,,"1.6.0_38",1398696732019
java.vm.info,sysinfo,,,"mixed mode, sharing",1398696732019
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1398696732019
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398696732019
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398696732019
java.vm.specification.version,sysinfo,,,"1.0",1398696732019
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1398696732019
java.vm.version,sysinfo,,,"20.13-b02",1398696732019
