what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272543594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1401272543610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272551113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272557734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272565799
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401272565808
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1401272629760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272657402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272658906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272723583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272745873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1401272745897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272756941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272758830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272762514
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401272762523
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1401272827814
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1401272867417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272870376
opened,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1401272870789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272870812
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1401272870823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272871171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272871362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401272890472
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1401272892796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401272896613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272898267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272899677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272900983
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401272900994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272904664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401272947207
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1401272947790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401272949281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272950145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401272952166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401272982355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401272995177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401272996065
