what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382417772410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382417772455
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382417776957
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1382417777729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417782838
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1382417782973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417783309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417783425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417792563
executed,command,org.eclipse.team.svn.ui,1.1.0.I20130527-1700,"org.eclipse.team.svn.ui.command.CommitCommand",1382417792657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417793311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417796432
error,log,,,"SVN: '0x00000114: Commit' operation finished with error",1382417796454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417796898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417799137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417805196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417805241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417805312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417813269
executed,command,org.eclipse.team.svn.ui,1.1.0.I20130527-1700,"org.eclipse.team.svn.ui.command.CommitCommand",1382417813286
opened,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417819009
activated,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417819054
activated,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417821503
closed,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417821503
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382417822288
executed,command,org.eclipse.team.svn.ui,1.1.0.I20130527-1700,"org.eclipse.team.svn.ui.command.SynchronizeCommand",1382417830349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417831002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417832051
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1382417832508
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382417832570
opened,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.repositories",1382417832627
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1382417832681
activated,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417832686
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1382417832749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417855700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417857313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417857670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382417859290
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.406.v201110060300,"org.eclipse.jst.j2ee.J2EEPerspective",1382417865532
activated,editor,com.essiembre.eclipse.i18n.resourcebundle,0.8.0,"com.essiembre.eclipse.rbe.ui.editor.ResourceBundleEditor",1382417865536
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382417866741
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1382417867710
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1382417867723
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1382417867818
