what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378971706873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378971708330
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378971708401
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378971708499
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1378971708499
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378971719122
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378971972038
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378971975076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972013951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972039283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972056630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972057811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972062581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972072229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972089190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972090626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972123031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972149385
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378972179727
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378972180609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378972182373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378980400759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378980401613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045380105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045382261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045385899
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1379045385971
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1379045386017
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1379045386017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045397705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045400062
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1379045400068
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1379045400511
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1379045400586
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1379045400814
started,bundle,org.eclipse.rse.files.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.files.ui",1379045400844
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1379045400845
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1379045401172
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1379045401351
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1379045401363
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1379045401415
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1379045401416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045401430
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1379045410468
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1379045410501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045410628
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1379045410645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045410954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379045411685
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1379045415501
