what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1387504102600
opened,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1387504102667
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1387504103031
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1387504103144
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103234
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1387504103424
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103475
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103578
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103664
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504103882
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1387504103883
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504136823
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1387504140927
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504144201
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1387504153094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504155196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504155245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504156102
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504176718
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504176803
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504182210
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504182210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504185305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504185341
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504185582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387504185668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504194834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1387504194861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504196321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504199467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504202048
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1387504202292
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387504202330
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387504202554
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1387504202555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504204740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504207137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504209024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504209223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387504251872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766179598
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1387766180429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766182279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766186333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1387766186344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766186969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766190100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387766191056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387787525509
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387787526515
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1387787529054
