what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181084610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181085514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181086434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181191477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401181192675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181195319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181352290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181352972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181389986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401181395994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181749908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401181898875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401181912892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1401181926842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401181951599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181952748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181955527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401181957435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401181963347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181965439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1401181969569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181977309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401181993317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181993982
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1401181994641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401181994900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401182012372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401182025669
